player,player_url,flag_url
Brandon Ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brandon Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630314.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Braxton Key,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630296.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Brook Lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bruce Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Bruno Fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png,https://www.worldometers.info//img/flags/small/tn_ao-flag.gif
Bryce McGowens,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631121.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Buddy Boeheim,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631205.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Buddy Hield,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,
CJ McCollum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cade Cunningham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Caleb Houstan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631216.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Caleb Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cam Reddish,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629629.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cam Thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630560.png,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Cameron Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629661.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cameron Payne,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626166.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Caris LeVert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cedi Osman,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
Charles Bassey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629646.png,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
Charlie Brown Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629718.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Chimezie Metu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629002.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Chris Boucher,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png,https://www.worldometers.info//img/flags/small/tn_st-flag.gif
Chris Duarte,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630537.png,
Chris Paul,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101108.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Christian Braun,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631128.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Christian Wood,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626174.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Chuma Okeke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629643.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Clint Capela,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Coby White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629632.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cody Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628998.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cody Zeller,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203469.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cole Swider,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631306.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Collin Sexton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629012.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Corey Kispert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cory Joseph,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
DAngelo Russell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DJ Wilson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628391.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DaQuan Jeffries,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629610.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Daishen Nix,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630227.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dalano Banton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Dalen Terry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631207.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Damian Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Damian Lillard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203081.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Daniel Gafford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Daniel Theis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628464.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Danilo Gallinari,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Danny Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Danuel House Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627863.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dario Saric,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203967.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Darius Bazley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Darius Garland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
David Duke Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630561.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
David Roddy,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631223.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Davion Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630558.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Davis Bertans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
DayRon Sharpe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630549.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAaron Fox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAndre Hunter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAnthony Melton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeAndre Jordan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201599.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeJon Jarreau,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630610.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DeMar DeRozan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dean Wade,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629731.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Deandre Ayton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png,
Dejounte Murray,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627749.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Delon Wright,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626153.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Deni Avdija,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Dennis Schroder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Dennis Smith Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dereon Seabron,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631220.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick Jones Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627884.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick Rose,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201565.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Desmond Bane,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devin Booker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devin Vassell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630170.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devonte Graham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dillon Brooks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Domantas Sabonis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Dominick Barlow,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Donovan Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Donte DiVincenzo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dorian FinneySmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Doug McDermott,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203926.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Draymond Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Drew Eubanks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dru Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630696.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Duncan Robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629130.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dwight Powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Dylan Windler,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629685.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dyson Daniels,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Eric Gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Eugene Omoruyi,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630647.png,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
Evan Fournier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Evan Mobley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630596.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Frank Ntilikina,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Franz Wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Fred VanVleet,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Furkan Korkmaz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627788.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif
Gabe Vincent,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Garrett Temple,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202066.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Garrison Mathews,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629726.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Gary Harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Gary Payton II,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627780.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Gary Trent Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629018.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Georges Niang,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627777.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
