player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Ayo Dosunmu,CHI,77,11.2,0.596,14.1,0.069,-2.0,0.0,2021-22,1630245,27.4,109.1,114.1,USA,USA,3,0.406
Ayo Dosunmu,CHI,80,10.2,0.567,14.9,0.067,-2.5,-0.2,2022-23,1630245,26.2,108.8,110.1,USA,USA,3,0.3356
Ayo Dosunmu,CHI,76,13.4,0.604,17.2,0.089,-0.8,0.7,2023-24,1630245,29.1,111.6,114.9,USA,USA,3,0.4643
Bam Adebayo,MIA,56,21.8,0.608,25.0,0.188,3.8,2.7,2021-22,1628389,32.6,113.1,104.9,USA,USA,3,0.4522
Bam Adebayo,MIA,75,20.1,0.592,25.2,0.137,1.5,2.3,2022-23,1628389,34.6,113.0,111.2,USA,USA,3,0.4989
Bam Adebayo,MIA,71,19.8,0.576,24.9,0.144,2.4,2.7,2023-24,1628389,34.0,110.1,109.3,USA,USA,3,0.4604
Bennedict Mathurin,IND,78,13.1,0.566,24.6,0.038,-3.7,-1.0,2022-23,1631097,28.5,111.5,115.8,Canada,International,2,0.4486
Bennedict Mathurin,IND,59,13.0,0.562,23.4,0.045,-3.4,-0.6,2023-24,1631097,26.1,115.0,117.9,Canada,International,2,0.4928
Bobby Portis,MIL,72,17.7,0.571,21.3,0.131,0.2,1.1,2021-22,1626171,28.2,114.7,108.5,USA,USA,3,0.4264
Bobby Portis,MIL,70,17.8,0.575,21.7,0.139,0.7,1.2,2022-23,1626171,26.0,111.8,112.0,USA,USA,3,0.4688
Bobby Portis,MIL,82,17.5,0.581,22.9,0.112,-0.8,0.6,2023-24,1626171,24.5,115.9,116.0,USA,USA,3,0.5289
Bogdan Bogdanovic,ATL,63,15.4,0.562,21.6,0.095,1.3,1.5,2021-22,203992,29.3,116.6,112.1,Serbia,International,3,0.4702
Bogdan Bogdanovic,ATL,54,14.2,0.586,19.8,0.088,0.5,0.9,2022-23,203992,27.9,117.3,116.1,Serbia,International,3,0.5173
Bogdan Bogdanovic,ATL,79,14.7,0.569,22.3,0.079,0.2,1.4,2023-24,203992,30.4,116.3,114.4,Serbia,International,3,0.4931
Bojan Bogdanovic,UTA,69,15.7,0.599,23.7,0.118,0.0,1.1,2021-22,202711,30.9,116.2,111.4,Croatia,International,3,0.4808
Bojan Bogdanovic,DET,59,17.4,0.627,25.9,0.09,0.8,1.4,2022-23,202711,32.1,111.3,119.5,Croatia,International,3,0.5878
Bojan Bogdanovic,NYK,57,12.6,0.581,24.6,0.034,-3.2,-0.4,2023-24,202711,25.9,109.9,121.3,Croatia,International,3,0.5245
Bones Hyland,DEN,69,14.4,0.558,23.8,0.088,-0.4,0.5,2021-22,1630538,19.0,113.4,111.7,USA,USA,2,0.4382
Bones Hyland,LAC,56,14.9,0.535,28.0,0.062,-0.8,0.3,2022-23,1630538,19.4,112.7,118.0,USA,USA,2,0.5169
Bradley Beal,WAS,50,19.7,0.593,29.2,0.099,1.8,1.6,2022-23,203078,33.5,116.6,115.9,USA,USA,2,0.5769
Bradley Beal,PHX,53,16.3,0.607,22.7,0.107,0.4,1.1,2023-24,203078,33.3,116.2,113.2,USA,USA,2,0.5045
Brandon Clarke,MEM,64,23.7,0.66,17.7,0.241,4.2,2.0,2021-22,1629634,19.5,113.2,105.7,Canada,International,2,0.4762
Brandon Clarke,MEM,56,20.0,0.682,17.7,0.199,2.5,1.3,2022-23,1629634,19.5,109.0,108.3,Canada,International,2,0.4653
