player,nationality,player_origin,avg_per,avg_ts,avg_usg,avg_ws_48,avg_bpm,avg_vorp,avg_off_rating,avg_def_rating,composite_score
Aaron Gordon,USA,USA,17.09395150506641,0.6082849523073722,19.478027218970077,0.13586192909993164,0.8729400053487059,1.6077853386027992,119.89327103081449,111.0389772085698,0.4888363817869179
Aaron Holiday,USA,USA,11.9898167539267,0.5628602094240838,17.590575916230367,0.08242251308900525,-1.5890575916230365,0.15547120418848168,108.85243455497383,107.8671727748691,0.2820863505479363
Aaron Nesmith,USA,USA,11.70330526481467,0.6000064531360668,16.381459038325332,0.07606610529629339,-1.692059494766664,0.2278114425120013,116.67746911151333,116.66888329267333,0.49467510390453545
Aaron Wiggins,USA,USA,12.699957099957098,0.6091697232947234,15.383403045903044,0.09653512441012439,-1.8943800943800944,0.03557486057486056,110.99186507936508,111.26018876018877,0.3715846992314775
Al Horford,Dominican Republic,International,15.195300983884051,0.6166556934795641,12.957430264132315,0.17010427760341362,3.746186126882251,2.747827696864972,117.35466904115387,107.88244701484643,0.420557978178973
Alec Burks,USA,USA,14.166382978723403,0.5633659574468085,20.678439716312056,0.10310921985815603,0.08737588652482278,1.0373049645390071,110.27446808510638,112.21290780141842,0.41019198535792056
Alex Caruso,USA,USA,12.832444014957355,0.5842317759757993,13.171618839544557,0.10505693038107644,1.4822486450149155,1.5261774715348095,111.3658312675938,108.01392168396286,0.32445615497926383
Alperen Sengun,Turkey,International,19.558865285518984,0.5816981806709434,23.5664107687454,0.11994815438006101,2.029104006730466,2.0823535597854663,111.4089388999895,116.78548217478179,0.5584834452069971
Amir Coffey,USA,USA,11.551150430792589,0.6008976991384147,14.20626547387185,0.10054560459512099,-1.2176047271646915,0.31364011487802457,112.27327435381109,114.38064899481728,0.429972042364481
Andre Drummond,USA,USA,21.96873431337397,0.5749687343133739,20.114044460380065,0.17242183578343492,0.7187594119756184,0.9578164216565077,113.12029759770527,111.49528504840444,0.46986183470527193
Andrew Nembhard,Canada,International,10.586206896551724,0.5482917771883289,16.054907161803712,0.041625994694960214,-2.749071618037135,-0.37453580901856764,114.01352785145889,116.30610079575597,0.424228001926357
Andrew Wiggins,Canada,International,13.96151400240243,0.55277574958193,22.106665567515368,0.08919695221047176,-0.9093953882751962,0.6324233930800573,112.8706079091787,110.32152059731021,0.3798687677409576
Anfernee Simons,USA,USA,15.275052908592356,0.5778331769079298,25.851671911518437,0.05838637074660925,-0.5976499383499881,0.5873626676972341,111.76291613758075,116.23135317175509,0.49954919734676506
Anthony Davis,USA,USA,26.627466318991743,0.6234823989569752,27.403346371142977,0.21661973055193395,5.596479791395046,4.527640156453716,115.58978704910908,112.13820078226858,0.6241797738188521
Anthony Edwards,USA,USA,17.915082989862984,0.5665561991756712,29.65697894619584,0.09274746574579483,1.8503397571571798,2.6186587946975606,114.73024395677845,110.33687200623818,0.4680281966660882
Austin Reaves,USA,USA,14.351268122092828,0.6330317794452177,17.119135571928158,0.11599606152174649,-0.05869690693647506,1.0904423997555428,113.93738498624928,112.41855159066986,0.45501382905344806
Austin Rivers,USA,USA,7.281292339760292,0.5533163105784263,11.746430432516936,0.04675508077123502,-3.3935383011985416,-0.49676915059927046,111.69932256383534,112.6039082855654,0.3156124340691101
Ayo Dosunmu,USA,USA,11.631564184872378,0.5892852557110356,15.429628821641165,0.07523928693863559,-1.7497553526350236,0.17591547978932276,109.86358026615139,113.06925234518651,0.379729072898278
Bam Adebayo,USA,USA,20.448128639569255,0.5906225382612004,25.04061686126474,0.15309510432212567,2.432238902057179,2.5481257132824155,112.00242296549908,108.8461124279402,0.4486737578641599
Bennedict Mathurin,Canada,International,13.059076775890935,0.5643630710356373,24.108921310691223,0.040864625687634534,-3.5772303276728055,-0.8363071035637407,112.93231284381727,116.65938770629036,0.4648273119601526
Bobby Portis,USA,USA,17.662487626719457,0.575671126736526,21.972833395910843,0.1269704065262655,0.012438133597296633,0.9596272655903335,114.21066662115575,112.15865105642217,0.4623134466641984
Bogdan Bogdanovic,Serbia,International,14.793642793833962,0.5712055403972819,21.420865122260647,0.08648923376375105,0.6314262873429382,1.3011643871326533,116.65806989798577,114.10727828852468,0.4885733698959569
Bojan Bogdanovic,Croatia,International,15.453394035221633,0.6038081347800011,24.698718717627173,0.08582465514421242,-0.5832179270486887,0.8008014830161932,112.82308489177252,116.84426149064934,0.5353694564524356
Bones Hyland,USA,USA,14.62657879369317,0.5475773754901143,25.70326186702261,0.0762179027279553,-0.5812630349545341,0.409368482522733,113.08278968882958,114.55489280053393,0.4673373223459708
Bradley Beal,USA,USA,17.955571382889037,0.6001829413645745,25.865062937876104,0.10310453792261405,1.081705863542545,1.3434663798366233,116.39477310386931,114.51471845111777,0.5433064166643494
Brandon Clarke,Canada,International,21.973333333333333,0.6702666666666667,17.7,0.2214,3.4066666666666667,1.6733333333333336,111.24000000000001,106.91333333333334,0.4404516315027034
Brandon Ingram,USA,USA,18.648627280310446,0.5709779131759329,28.91678816233272,0.10838450658252637,1.6108185543829108,1.712004497153012,114.97052551408986,111.48697276321037,0.48973432644085746
Brook Lopez,USA,USA,16.585579517643858,0.6189118748300458,17.636781224506873,0.13882374966009162,1.5455937415022905,2.1471960173196396,115.41361934444747,109.27123015457987,0.43337233294090444
Bruce Brown,USA,USA,13.273725861544184,0.5696783455646115,16.55194629510636,0.0919014508437891,-1.0224796239304677,0.5174135073894959,113.73796881869526,115.3461463018702,0.45742900839915746
