player,player_url,flag_url,circular_player_url
Boban Marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif,./visualisation/circular_headshots\boban_marjanovic.png
Bobby Portis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626171.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\bobby_portis.png
Bogdan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif,./visualisation/circular_headshots\bogdan_bogdanovic.png
Bojan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif,./visualisation/circular_headshots\bojan_bogdanovic.png
Bol Bol,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629626.png,,./visualisation/circular_headshots\bol_bol.png
Bones Hyland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630538.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\bones_hyland.png
Bradley Beal,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\bradley_beal.png
Brandon Boston Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630527.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\brandon_boston_jr.png
Brandon Clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\brandon_clarke.png
Brandon Ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\brandon_ingram.png
Brandon Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630314.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\brandon_williams.png
Braxton Key,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630296.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\braxton_key.png
Brook Lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\brook_lopez.png
Bruce Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\bruce_brown.png
Bruno Fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png,https://www.worldometers.info//img/flags/small/tn_ao-flag.gif,./visualisation/circular_headshots\bruno_fernando.png
Bryce McGowens,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631121.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\bryce_mcgowens.png
Buddy Boeheim,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631205.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\buddy_boeheim.png
Buddy Hield,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,,./visualisation/circular_headshots\buddy_hield.png
CJ McCollum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cj_mccollum.png
Cade Cunningham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cade_cunningham.png
Caleb Houstan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631216.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\caleb_houstan.png
Caleb Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\caleb_martin.png
Cam Reddish,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629629.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cam_reddish.png
Cam Thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630560.png,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif,./visualisation/circular_headshots\cam_thomas.png
Cameron Johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629661.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cameron_johnson.png
Cameron Payne,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626166.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cameron_payne.png
Caris LeVert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\caris_levert.png
Cedi Osman,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png,https://www.worldometers.info//img/flags/small/tn_tu-flag.gif,./visualisation/circular_headshots\cedi_osman.png
Charles Bassey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629646.png,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif,./visualisation/circular_headshots\charles_bassey.png
Charlie Brown Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629718.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\charlie_brown_jr.png
Chimezie Metu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629002.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\chimezie_metu.png
Chris Boucher,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png,https://www.worldometers.info//img/flags/small/tn_st-flag.gif,./visualisation/circular_headshots\chris_boucher.png
Chris Duarte,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630537.png,,./visualisation/circular_headshots\chris_duarte.png
Chris Paul,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101108.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\chris_paul.png
Christian Braun,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631128.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\christian_braun.png
Christian Wood,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626174.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\christian_wood.png
Chuma Okeke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629643.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\chuma_okeke.png
Clint Capela,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif,./visualisation/circular_headshots\clint_capela.png
Coby White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629632.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\coby_white.png
Cody Martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628998.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cody_martin.png
Cody Zeller,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203469.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cody_zeller.png
Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cole_anthony.png
Cole Swider,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631306.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\cole_swider.png
Collin Sexton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629012.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\collin_sexton.png
Corey Kispert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\corey_kispert.png
Cory Joseph,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\cory_joseph.png
DAngelo Russell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626156.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dangelo_russell.png
DJ Wilson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628391.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dj_wilson.png
DaQuan Jeffries,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629610.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\daquan_jeffries.png
Daishen Nix,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630227.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\daishen_nix.png
Dalano Banton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\dalano_banton.png
Dalen Terry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631207.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dalen_terry.png
Damian Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\damian_jones.png
Damian Lillard,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203081.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\damian_lillard.png
Daniel Gafford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\daniel_gafford.png
Daniel Theis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628464.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,./visualisation/circular_headshots\daniel_theis.png
Danilo Gallinari,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png,https://www.worldometers.info//img/flags/small/tn_it-flag.gif,./visualisation/circular_headshots\danilo_gallinari.png
