player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality
Caris LeVert,CLE,74,12.4,0.546,18.7,0.095,-0.2,1.0,2022-23,1627747,30.2,113.0,108.5,USA
Caris LeVert,CLE,68,14.6,0.524,23.1,0.088,0.2,1.1,2023-24,1627747,28.8,113.9,111.2,USA
Carlik Jones,DEN,5,-1.8,0.202,25.1,-0.285,-15.5,-0.1,2021-22,1630637,4.7,88.7,121.8,USA
Carlik Jones,CHI,7,11.1,0.54,16.2,0.078,-2.5,0.0,2022-23,1630637,8.0,114.0,93.3,USA
Cedi Osman,CLE,66,13.3,0.563,21.1,0.094,0.2,0.8,2021-22,1626224,22.1,107.5,109.2,Turkey
Cedi Osman,CLE,77,12.0,0.579,18.2,0.103,-0.7,0.5,2022-23,1626224,20.1,115.4,108.0,Turkey
Cedi Osman,SAS,72,11.2,0.601,15.1,0.071,-2.1,0.0,2023-24,1626224,17.6,106.0,119.2,Turkey
Charles Bassey,PHI,23,21.5,0.66,16.1,0.22,1.7,0.2,2021-22,1629646,7.3,98.6,107.4,Nigeria
Charles Bassey,SAS,35,18.8,0.658,15.6,0.122,0.7,0.3,2022-23,1629646,14.5,109.1,111.5,Nigeria
Charles Bassey,SAS,19,17.7,0.739,11.9,0.157,1.3,0.2,2023-24,1629646,10.8,105.1,116.7,Nigeria
Charlie Brown Jr,PHI,22,6.5,0.346,12.3,0.012,-4.8,-0.1,2021-22,1629718,8.1,99.7,103.4,USA
Charlie Brown Jr,NYK,8,-3.2,0.3,14.0,-0.124,-13.6,-0.1,2023-24,1629718,4.7,104.1,105.1,USA
Chimezie Metu,SAC,60,13.4,0.546,18.5,0.056,-1.5,0.2,2021-22,1629002,21.3,106.1,111.8,USA
Chimezie Metu,SAC,66,17.3,0.639,17.6,0.143,-0.1,0.3,2022-23,1629002,10.4,113.9,107.3,USA
Chimezie Metu,DET,51,13.3,0.61,16.2,0.085,-1.3,0.2,2023-24,1629002,16.8,105.5,112.0,USA
Chris Boucher,TOR,80,17.9,0.57,17.8,0.169,0.1,0.9,2021-22,1628449,21.1,111.0,105.7,Saint Lucia
Chris Boucher,TOR,76,18.0,0.59,18.0,0.156,-0.1,0.7,2022-23,1628449,20.0,110.4,111.6,Saint Lucia
Chris Boucher,TOR,50,16.0,0.625,17.3,0.119,-1.7,0.1,2023-24,1628449,14.1,116.0,113.6,Saint Lucia
Chris Duarte,IND,55,12.3,0.537,21.1,0.029,-2.3,-0.1,2021-22,1630537,28.0,107.6,109.7,Dominican Republic
Chris Duarte,IND,46,8.6,0.496,19.0,-0.003,-4.5,-0.6,2022-23,1630537,19.5,109.4,115.6,Dominican Republic
Chris Duarte,SAC,59,8.4,0.512,14.9,0.047,-3.4,-0.2,2023-24,1630537,12.2,110.4,113.5,Dominican Republic
Chris Paul,PHX,65,20.8,0.581,19.7,0.21,5.4,4.0,2021-22,101108,32.9,115.6,105.5,USA
Chris Paul,PHX,59,17.7,0.555,19.2,0.156,3.2,2.5,2022-23,101108,32.0,114.9,112.5,USA
Chris Paul,GSW,58,14.7,0.544,15.6,0.136,1.0,1.2,2023-24,101108,26.4,113.7,111.0,USA
Chris Silva,MIA,10,11.6,0.641,13.8,0.137,-4.9,-0.1,2021-22,1629735,9.1,101.5,117.6,Gabon
Chris Silva,DAL,1,-2.2,1.0,30.1,-0.26,-22.6,0.0,2022-23,1629735,3.0,100.0,87.5,Gabon
Christian Braun,DEN,76,10.3,0.568,13.0,0.079,-2.4,-0.1,2022-23,1631128,15.5,107.0,111.3,USA
Christian Braun,DEN,82,12.1,0.554,15.7,0.1,-1.9,0.0,2023-24,1631128,20.2,110.0,109.3,USA
Christian Wood,HOU,68,19.1,0.595,23.3,0.112,1.6,1.9,2021-22,1626174,30.8,106.6,115.7,USA
Christian Wood,DAL,67,20.6,0.624,26.4,0.132,1.7,1.6,2022-23,1626174,25.9,115.4,116.7,USA
Christian Wood,LAL,50,12.3,0.568,17.6,0.064,-2.8,-0.2,2023-24,1626174,17.4,109.9,109.9,USA
Chuma Okeke,ORL,70,12.0,0.501,16.4,0.06,-0.1,0.8,2021-22,1629643,25.0,100.3,109.1,USA
Chuma Okeke,ORL,27,9.1,0.488,12.3,0.061,-1.6,0.1,2022-23,1629643,19.2,105.7,116.5,USA
Chuma Okeke,ORL,47,6.9,0.465,13.3,0.029,-3.4,-0.2,2023-24,1629643,9.2,99.5,106.8,USA
Clint Capela,ATL,74,21.4,0.604,15.5,0.195,2.0,2.1,2021-22,203991,27.6,116.6,113.3,Switzerland
Clint Capela,ATL,65,22.1,0.656,15.7,0.201,2.2,1.8,2022-23,203991,26.6,115.3,116.4,Switzerland
Clint Capela,ATL,73,20.7,0.59,17.3,0.161,0.1,1.0,2023-24,203991,25.8,115.5,115.6,Switzerland
Coby White,CHI,61,12.6,0.564,19.8,0.067,-2.1,0.0,2021-22,1629632,27.5,112.3,113.6,USA
Coby White,CHI,74,12.5,0.572,17.9,0.087,-0.8,0.5,2022-23,1629632,23.4,114.0,110.1,USA
Coby White,CHI,79,14.5,0.57,22.7,0.078,-0.7,0.9,2023-24,1629632,36.5,115.0,115.8,USA
Cody Martin,CHA,71,12.7,0.579,12.1,0.101,-0.5,0.7,2021-22,1628998,26.3,113.1,113.0,USA
Cody Martin,CHA,7,8.7,0.448,12.9,0.045,-4.6,-0.1,2022-23,1628998,19.1,107.6,117.3,USA
Cody Martin,CHA,28,9.2,0.46,16.1,-0.012,-3.5,-0.3,2023-24,1628998,26.9,106.5,117.0,USA
Cody Zeller,POR,27,17.2,0.627,15.9,0.143,-2.1,0.0,2021-22,203469,13.1,108.8,110.9,USA
Cody Zeller,MIA,15,16.4,0.659,18.1,0.147,-2.8,0.0,2022-23,203469,14.4,108.8,119.0,USA
Cody Zeller,NOP,43,12.8,0.483,12.9,0.124,-2.6,0.0,2023-24,203469,7.4,114.3,108.0,USA
Cole Anthony,ORL,65,13.5,0.519,25.1,0.038,-1.2,0.4,2021-22,1630175,31.7,105.7,111.1,USA
Cole Anthony,ORL,60,16.0,0.57,21.5,0.116,1.3,1.3,2022-23,1630175,25.9,112.4,112.5,USA
Cole Anthony,ORL,81,14.6,0.545,23.7,0.096,0.1,1.0,2023-24,1630175,22.4,112.6,110.0,USA
Cole Swider,LAL,7,7.4,0.5,9.3,0.08,-3.4,0.0,2022-23,1631306,5.9,116.5,113.2,USA
Cole Swider,MIA,18,7.1,0.54,24.0,-0.05,-4.5,-0.1,2023-24,1631306,4.8,98.9,110.0,USA
