player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season
Lou Williams,ATL,56.0,12.1,0.5,21.7,0.034,-3.4,-0.3,2021-22
Trent Forrest,UTA,60.0,10.9,0.554,12.8,0.084,-1.0,0.2,2021-22
Brandon Boston Jr,LAC,51.0,11.2,0.481,22.4,0.026,-3.3,-0.3,2021-22
Rodney McGruder,DET,51.0,11.6,0.577,14.8,0.075,-1.4,0.1,2021-22
Eric Paschall,UTA,58.0,13.9,0.612,17.7,0.127,-0.5,0.3,2021-22
Naji Marshall,NOP,55.0,12.3,0.505,20.8,0.05,-3.2,-0.2,2021-22
Omer Yurtseven,MIA,56.0,17.4,0.546,19.9,0.145,-1.0,0.2,2021-22
Zeke Nnaji,DEN,41.0,13.5,0.629,14.9,0.123,-2.2,0.0,2021-22
Vit Krejci,OKC,30.0,8.5,0.529,12.9,0.042,-5.3,-0.6,2021-22
Frank Ntilikina,DAL,58.0,10.4,0.513,17.4,0.065,-1.9,0.0,2021-22
Timothe LuwawuCabarrot,ATL,52.0,9.3,0.556,14.3,0.061,-3.3,-0.2,2021-22
Derrick Favors,OKC,39.0,13.6,0.534,13.4,0.105,-2.1,0.0,2021-22
TJ McConnell,IND,27.0,15.1,0.525,16.2,0.098,0.9,0.5,2021-22
Brandon Williams,POR,24.0,11.0,0.476,25.9,-0.037,-5.7,-0.6,2021-22
Greg Brown III,POR,48.0,11.0,0.515,17.2,0.029,-4.7,-0.4,2021-22
Dennis Smith Jr,POR,37.0,13.2,0.474,18.2,0.031,-1.7,0.1,2021-22
Derrick Rose,NYK,26.0,16.9,0.541,22.5,0.108,2.3,0.7,2021-22
Sterling Brown,DAL,49.0,8.4,0.495,13.2,0.061,-2.9,-0.1,2021-22
Alex Len,SAC,39.0,13.1,0.577,17.1,0.07,-2.9,-0.1,2021-22
Robin Lopez,ORL,36.0,13.7,0.57,18.9,0.064,-3.8,-0.3,2021-22
David Nwaba,HOU,46.0,15.3,0.567,15.8,0.105,-0.6,0.2,2021-22
Isaiah Joe,PHI,55.0,7.7,0.519,15.5,0.035,-4.6,-0.4,2021-22
Moses Moody,GSW,52.0,10.5,0.573,15.2,0.101,-2.5,-0.1,2021-22
Andre Iguodala,GSW,31.0,12.3,0.478,11.4,0.125,2.7,0.7,2021-22
Jock Landale,SAS,54.0,16.0,0.597,18.1,0.121,-0.4,0.2,2021-22
Aaron Nesmith,BOS,52.0,7.3,0.507,17.2,0.038,-4.3,-0.3,2021-22
Keifer Sykes,IND,32.0,5.9,0.456,17.4,-0.04,-6.9,-0.7,2021-22
Jericho Sims,NYK,41.0,11.6,0.674,6.9,0.128,-1.7,0.0,2021-22
Tony Bradley,CHI,55.0,14.9,0.6,13.6,0.112,-1.8,0.0,2021-22
Elfrid Payton,PHO,50.0,7.9,0.397,18.5,-0.014,-3.5,-0.2,2021-22
Kent Bazemore,LAL,39.0,6.0,0.451,13.2,0.006,-4.3,-0.3,2021-22
Isaiah Jackson,IND,36.0,20.5,0.607,22.5,0.126,-1.6,0.0,2021-22
Terence Davis,SAC,30.0,14.6,0.543,25.6,0.044,-0.9,0.2,2021-22
Ignas Brazdeikis,ORL,42.0,10.2,0.52,17.7,0.041,-4.3,-0.3,2021-22
Josh Okogie,MIN,49.0,9.0,0.526,12.1,0.062,-2.7,-0.1,2021-22
Zach Collins,SAS,28.0,16.4,0.594,19.2,0.118,-0.2,0.2,2021-22
Brandon Goodwin,CLE,36.0,11.8,0.501,18.2,0.069,-1.6,0.1,2021-22
Thanasis Antetokounmpo,MIL,48.0,12.5,0.577,15.7,0.095,-3.5,-0.2,2021-22
Admiral Schofield,ORL,38.0,7.5,0.538,14.5,0.027,-5.4,-0.4,2021-22
Lindy Waters III,OKC,25.0,13.0,0.562,17.5,0.081,-1.6,0.1,2021-22
Anthony Gill,WAS,44.0,14.7,0.682,14.4,0.14,-1.9,0.0,2021-22
Trevor Ariza,LAL,24.0,7.0,0.449,11.0,0.02,-3.4,-0.2,2021-22
Killian Tillie,MEM,36.0,7.6,0.452,12.8,0.058,-2.7,-0.1,2021-22
Matt Thomas,CHI,40.0,9.9,0.564,14.5,0.058,-2.6,-0.1,2021-22
Trey Burke,DAL,42.0,10.0,0.475,25.6,0.003,-5.0,-0.3,2021-22
Joe Harris,BRK,14.0,9.6,0.624,14.5,0.06,-1.4,0.1,2021-22
Patrick Williams,CHI,17.0,12.7,0.637,14.2,0.099,-1.5,0.0,2021-22
Olivier Sarr,OKC,22.0,14.0,0.672,13.9,0.116,-4.0,-0.2,2021-22
Enes Freedom,BOS,35.0,15.0,0.585,13.9,0.16,-1.4,0.1,2021-22
DayRon Sharpe,BRK,32.0,20.7,0.593,21.7,0.152,-2.8,-0.1,2021-22
Luka Garza,DET,32.0,15.6,0.535,21.1,0.093,-2.5,-0.1,2021-22
Isaiah Livers,DET,19.0,11.1,0.629,12.4,0.085,-1.5,0.0,2021-22
Gary Clark,NOP,38.0,11.4,0.547,11.6,0.092,0.1,0.2,2021-22
Miles McBride,NYK,40.0,6.1,0.393,13.9,0.032,-4.5,-0.2,2021-22
Chris Chiozza,GSW,34.0,4.4,0.407,13.4,-0.004,-6.0,-0.4,2021-22
Gorgui Dieng,ATL,44.0,17.3,0.624,16.9,0.155,2.1,0.4,2021-22
Nick Richards,CHO,50.0,15.9,0.689,15.4,0.125,-2.8,-0.1,2021-22
Markelle Fultz,ORL,18.0,17.7,0.517,27.5,0.053,0.2,0.2,2021-22
Jared Butler,UTA,42.0,12.1,0.509,23.1,0.057,-1.6,0.0,2021-22
Santi Aldama,MEM,32.0,10.2,0.452,18.4,0.044,-5.7,-0.3,2021-22
Cody Zeller,POR,27.0,17.2,0.627,15.9,0.143,-2.1,0.0,2021-22
Keljin Blevins,POR,31.0,4.8,0.41,16.5,-0.066,-8.5,-0.6,2021-22
Marquese Chriss,DAL,34.0,14.8,0.518,21.5,0.108,-3.8,-0.2,2021-22
David Duke Jr,BRK,22.0,10.0,0.444,15.9,0.048,-3.9,-0.2,2021-22
PJ Dozier,DEN,18.0,8.7,0.463,15.2,0.038,-2.0,0.0,2021-22
Jarrett Culver,MEM,37.0,8.7,0.433,20.6,0.012,-5.4,-0.3,2021-22
Kris Dunn,POR,14.0,12.5,0.482,18.3,0.024,-5.4,-0.3,2021-22
Collin Sexton,CLE,11.0,11.2,0.523,27.9,-0.009,-4.1,-0.2,2021-22
James Bouknight,CHO,31.0,10.1,0.459,23.7,0.001,-7.1,-0.4,2021-22
Paul Reed,PHI,38.0,21.4,0.568,16.7,0.212,2.1,0.3,2021-22
Brook Lopez,MIL,13.0,16.0,0.57,21.9,0.108,-1.3,0.1,2021-22
Nathan Knight,MIN,37.0,18.7,0.603,20.7,0.171,-0.6,0.1,2021-22
Michael Porter Jr,DEN,9.0,7.5,0.416,19.7,-0.032,-3.5,-0.1,2021-22
JT Thor,CHO,33.0,9.7,0.525,12.0,0.058,-3.0,-0.1,2021-22
Daishen Nix,HOU,24.0,8.1,0.48,17.3,-0.033,-6.4,-0.3,2021-22
KZ Okpala,MIA,21.0,10.4,0.521,14.4,0.097,-2.8,-0.1,2021-22
Leandro Bolmaro,MIN,35.0,5.4,0.419,12.6,0.004,-5.8,-0.2,2021-22
Jaylen Hoard,OKC,7.0,18.0,0.536,18.7,0.118,-0.9,0.1,2021-22
Usman Garuba,HOU,24.0,12.9,0.51,9.4,0.105,-0.9,0.1,2021-22
Jake Layman,MIN,34.0,9.0,0.5,16.4,0.024,-3.9,-0.1,2021-22
Alfonzo McKinnie,CHI,17.0,5.6,0.457,15.3,-0.015,-9.0,-0.4,2021-22
Joe Wieskamp,SAS,29.0,7.1,0.494,13.1,0.035,-3.9,-0.1,2021-22
Ed Davis,CLE,31.0,9.3,0.632,6.0,0.126,-1.8,0.0,2021-22
Tyler Cook,CHI,20.0,13.0,0.643,13.0,0.127,-4.1,-0.1,2021-22
Lindell Wigginton,MIL,19.0,10.2,0.524,19.0,0.044,-5.0,-0.2,2021-22
Udoka Azubuike,UTA,17.0,17.6,0.743,14.7,0.157,-1.4,0.0,2021-22
Kyle Guy,MIA,19.0,9.5,0.526,19.9,0.035,-3.4,-0.1,2021-22
Markus Howard,DEN,31.0,16.1,0.567,29.4,0.082,-1.2,0.0,2021-22
Vlatko Cancar,DEN,15.0,12.7,0.657,14.0,0.114,-1.7,0.0,2021-22
Jamorko Pickett,DET,13.0,7.6,0.491,13.6,0.015,-5.0,-0.1,2021-22
Zavier Simpson,OKC,4.0,7.7,0.406,15.9,-0.018,-7.9,-0.3,2021-22
Victor Oladipo,MIA,8.0,16.8,0.608,25.1,0.124,1.3,0.1,2021-22
Hassani Gravett,ORL,8.0,10.1,0.629,12.3,0.071,-2.3,0.0,2021-22
Charles Bassey,PHI,23.0,21.5,0.66,16.1,0.22,1.7,0.2,2021-22
Kevin Pangos,CLE,24.0,6.5,0.408,14.6,0.016,-6.1,-0.2,2021-22
Haywood Highsmith,MIA,19.0,7.0,0.446,14.0,0.041,-4.6,-0.1,2021-22
Sam Hauser,BOS,26.0,14.8,0.65,14.5,0.171,2.3,0.2,2021-22
Paul Watson,OKC,9.0,5.7,0.432,11.0,0.001,-5.4,-0.1,2021-22
Cassius Stanley,DET,9.0,8.0,0.516,15.6,0.021,-5.8,-0.2,2021-22
Theo Pinson,DAL,19.0,11.9,0.553,14.7,0.122,-0.5,0.1,2021-22
Devin Cannady,ORL,5.0,8.6,0.531,15.5,0.033,-3.2,0.0,2021-22
Abdel Nader,PHO,14.0,4.9,0.431,15.0,-0.009,-4.9,-0.1,2021-22
Solomon Hill,ATL,13.0,3.3,0.2,6.6,-0.006,-4.0,-0.1,2021-22
Xavier Moon,LAC,10.0,16.2,0.545,19.0,0.121,-0.1,0.1,2021-22
Jahmius Ramsey,SAC,19.0,7.9,0.468,22.2,-0.047,-6.9,-0.2,2021-22
Boban Marjanovic,DAL,23.0,18.5,0.615,33.3,0.045,-4.4,-0.1,2021-22
Marcus Garrett,MIA,12.0,4.7,0.28,8.8,0.032,-5.4,-0.1,2021-22
Jay Scrubb,LAC,18.0,9.3,0.486,20.8,0.002,-4.8,-0.1,2021-22
Devontae Cacok,SAS,15.0,20.2,0.675,12.9,0.206,4.2,0.2,2021-22
Jalen Johnson,ATL,22.0,11.3,0.59,19.3,0.013,-4.9,-0.1,2021-22
Neemias Queta,SAC,15.0,12.7,0.495,18.4,0.051,-5.1,-0.1,2021-22
Melvin Frazier,OKC,3.0,-0.4,0.313,19.5,-0.16,-16.4,-0.4,2021-22
Freddie Gillespie,ORL,9.0,9.5,0.419,10.9,0.049,-4.6,-0.1,2021-22
Jabari Parker,BOS,12.0,14.8,0.632,19.6,0.141,0.7,0.1,2021-22
Derrick Walton,DET,3.0,5.9,0.342,15.4,-0.071,-4.3,-0.1,2021-22
Louis King,SAC,10.0,8.1,0.438,21.2,0.0,-4.6,-0.1,2021-22
Devon Dotson,CHI,11.0,9.8,0.538,16.6,0.048,-4.9,-0.1,2021-22
Udonis Haslem,MIA,13.0,8.6,0.495,20.0,0.033,-7.1,-0.1,2021-22
Wes Iwundu,ATL,3.0,7.1,0.557,11.1,0.046,-6.8,-0.1,2021-22
Bol Bol,DEN,14.0,13.5,0.565,18.0,0.065,-1.0,0.0,2021-22
Carsen Edwards,DET,4.0,5.5,0.378,19.2,-0.075,-9.3,-0.1,2021-22
Tyrone Wallace,NOP,6.0,2.5,0.383,13.9,-0.057,-8.2,-0.1,2021-22
Trevelin Queen,HOU,10.0,18.2,0.619,23.9,0.08,1.9,0.1,2021-22
Isaiah Todd,WAS,12.0,4.7,0.349,19.6,-0.104,-6.9,-0.1,2021-22
Aleem Ford,ORL,5.0,0.5,0.35,14.0,-0.103,-11.4,-0.2,2021-22
Quinndary Weatherspoon,GSW,11.0,12.0,0.647,15.7,0.148,-4.4,0.0,2021-22
Yves Pons,MEM,12.0,5.9,0.385,10.3,0.03,-6.6,-0.1,2021-22
Isaac Bonga,TOR,15.0,8.7,0.363,11.5,0.06,-0.4,0.0,2021-22
Brandon Knight,DAL,5.0,13.0,0.561,22.5,0.091,-4.6,0.0,2021-22
BJ Johnson,ORL,4.0,12.1,0.52,16.7,0.065,-4.7,0.0,2021-22
Kai Jones,CHO,21.0,9.2,0.628,15.9,0.009,-6.6,-0.1,2021-22
RJ Nembhard Jr,CLE,14.0,8.0,0.38,16.0,0.01,-6.0,-0.1,2021-22
Brodric Thomas,BOS,12.0,10.0,0.52,19.2,0.052,-2.8,0.0,2021-22
Tacko Fall,CLE,11.0,11.3,0.398,13.6,0.043,-3.4,0.0,2021-22
Sam Merrill,MEM,6.0,7.5,0.485,19.6,0.029,-5.6,-0.1,2021-22
Gabriel Deck,OKC,7.0,11.5,0.643,12.3,0.08,-2.5,0.0,2021-22
DJ Wilson,TOR,4.0,27.9,0.773,17.0,0.328,5.0,0.1,2021-22
Myles Powell,PHI,11.0,0.2,0.364,18.0,-0.109,-12.7,-0.1,2021-22
Mason Jones,LAL,4.0,17.8,0.625,19.0,0.201,-0.9,0.0,2021-22
Cameron McGriff,POR,3.0,12.5,0.47,14.0,0.097,-4.0,0.0,2021-22
Gabriel Lundberg,PHO,4.0,7.7,0.342,21.5,-0.005,-4.8,0.0,2021-22
Miye Oni,UTA,16.0,0.4,0.265,10.3,-0.032,-7.9,-0.1,2021-22
Jared Harper,NOP,5.0,36.9,0.666,29.7,0.422,17.3,0.2,2021-22
Cameron Oliver,ATL,2.0,21.4,0.705,16.6,0.219,1.7,0.0,2021-22
Robert Woodard II,SAC,12.0,2.1,0.207,18.3,-0.147,-10.4,-0.1,2021-22
Cassius Winston,WAS,7.0,6.0,0.549,18.0,0.015,-9.3,-0.1,2021-22
Sharife Cooper,ATL,13.0,-5.4,0.25,21.3,-0.297,-16.3,-0.1,2021-22
Petr Cornelie,DEN,13.0,9.6,0.418,24.0,-0.015,-8.8,-0.1,2021-22
Darren Collison,LAL,3.0,-0.2,0.286,9.3,-0.07,-10.9,-0.1,2021-22
Marko Simonovic,CHI,9.0,10.2,0.428,27.5,-0.011,-11.1,-0.1,2021-22
Micah Potter,DET,3.0,13.6,0.505,17.8,0.073,-7.1,0.0,2021-22
Cheick Diallo,DET,3.0,12.3,0.517,16.1,0.108,-7.5,0.0,2021-22
Jordan Schakel,WAS,4.0,-1.2,0.21,19.1,-0.204,-13.0,-0.1,2021-22
Daniel Oturu,TOR,3.0,13.4,0.549,13.0,0.121,-5.2,0.0,2021-22
Deividas Sirvydis,DET,3.0,0.1,0.15,15.9,-0.139,-8.7,0.0,2021-22
Shaquille Harrison,BRK,2.0,4.6,0.333,15.0,-0.067,-8.3,0.0,2021-22
Chandler Hutchison,PHO,6.0,1.0,0.694,13.5,-0.086,-8.5,0.0,2021-22
Gabe York,IND,2.0,12.7,0.435,20.8,0.059,-1.5,0.0,2021-22
Damyean Dotson,NYK,2.0,6.4,0.5,8.3,0.045,-4.9,0.0,2021-22
Joel Ayayi,WAS,7.0,3.4,0.167,13.3,-0.098,-6.0,0.0,2021-22
Jay Huff,LAL,4.0,0.6,0.0,8.6,-0.117,-7.4,0.0,2021-22
Norvel Pelle,UTA,3.0,12.2,0.6,16.0,0.038,-7.1,0.0,2021-22
Craig Sword,WAS,3.0,14.2,0.75,11.7,0.158,1.4,0.0,2021-22
Wayne Selden,NYK,3.0,4.3,0.434,13.3,0.016,-5.9,0.0,2021-22
McKinley Wright IV,MIN,5.0,9.5,0.833,8.8,0.092,-4.2,0.0,2021-22
George King,DAL,4.0,-12.3,0.085,16.3,-0.296,-20.1,-0.1,2021-22
Scotty Hopson,OKC,1.0,0.1,0.5,14.4,-0.132,-11.6,0.0,2021-22
Emanuel Terry,PHO,3.0,-0.1,0.0,23.9,-0.256,-18.3,-0.1,2021-22
Aaron Henry,PHI,6.0,-7.4,0.2,18.5,-0.306,-16.5,-0.1,2021-22
Trayvon Palmer,DET,1.0,-5.7,0.0,5.0,-0.133,-15.0,-0.1,2021-22
Sekou Doumbouya,LAL,2.0,40.7,0.717,31.6,0.3,18.8,0.1,2021-22
Dakota Mathias,MEM,6.0,11.0,0.5,15.4,0.114,0.3,0.0,2021-22
Jaylen Morris,SAS,3.0,-11.4,0.129,23.1,-0.376,-21.5,-0.1,2021-22
Jemerrio Jones,LAL,2.0,14.8,0.667,8.6,0.17,-1.0,0.0,2021-22
Cat Barber,ATL,3.0,-11.2,0.0,22.7,-0.45,-23.5,-0.1,2021-22
Jarron Cumberland,POR,3.0,8.4,0.5,7.2,0.079,-6.6,0.0,2021-22
Tre Scott,CLE,2.0,20.4,0.5,24.1,0.138,-3.0,0.0,2021-22
Rob Edwards,OKC,2.0,-0.8,0.375,19.6,-0.181,-11.2,0.0,2021-22
Emmanuel Mudiay,SAC,2.0,12.3,0.399,18.6,0.023,-1.2,0.0,2021-22
JaQuori McLaughlin,DAL,4.0,-2.9,0.0,8.2,-0.101,-13.6,0.0,2021-22
Shaq Buchanan,MEM,2.0,0.6,0.25,24.6,-0.23,-10.7,0.0,2021-22
DaQuan Jeffries,MEM,3.0,8.4,0.5,9.1,0.099,-4.9,0.0,2021-22
Malik Newman,CLE,1.0,28.6,0.68,38.1,0.179,6.4,0.0,2021-22
Feron Hunt,NYK,2.0,-3.0,0.0,16.4,-0.234,-11.3,0.0,2021-22
Anthony Lamb,SAS,2.0,-0.5,0.0,10.6,-0.138,-8.0,0.0,2021-22
Jon Teske,MEM,3.0,1.5,0.0,9.6,-0.08,-4.8,0.0,2021-22
MJ Walker,PHO,2.0,-3.3,0.0,21.5,-0.276,-9.6,0.0,2021-22
Paris Bass,PHO,2.0,13.9,0.436,54.6,-0.17,-12.4,0.0,2021-22
Scottie Lewis,CHO,2.0,14.6,0.568,5.3,0.164,6.0,0.0,2021-22
Jaysean Paige,DET,1.0,-22.2,0.0,24.5,-0.574,-31.5,0.0,2021-22
Zylan Cheatham,UTA,1.0,-23.8,0.0,26.1,-0.61,-30.6,0.0,2021-22
Arnoldas Kulboka,CHO,2.0,-10.7,0.0,8.5,-0.217,-21.8,0.0,2021-22
Tyrell Terry,MEM,2.0,20.0,1.0,13.7,0.222,-1.0,0.0,2021-22
Javin DeLaurier,MIL,1.0,15.6,,0.0,0.26,7.0,0.0,2021-22
Jaime Echenique,WAS,1.0,0.0,,0.0,-0.012,-8.5,0.0,2021-22
Joe Johnson,BOS,1.0,38.7,1.0,22.0,0.335,15.0,0.0,2021-22
Jordan Bell,CHI,1.0,29.9,,0.0,0.6,2.7,0.0,2021-22
Tyler Hall,NYK,1.0,0.0,,0.0,0.007,-8.5,0.0,2021-22
Nate Hinton,IND,2.0,-45.2,0.0,42.8,-1.231,-42.6,0.0,2021-22
David Johnson,TOR,2.0,-20.0,0.0,21.4,-0.495,-27.7,0.0,2021-22
CJ Miles,BOS,1.0,-7.8,,0.0,0.03,-16.3,0.0,2021-22
Matt Mooney,NYK,1.0,-20.0,0.0,43.8,-0.915,-22.3,0.0,2021-22
Ahmad Caver,IND,1.0,76.2,1.0,42.8,1.204,36.9,0.0,2021-22
Sam Dekker,TOR,1.0,0.0,,0.0,0.003,-9.6,0.0,2021-22
DeJon Jarreau,IND,1.0,0.0,,0.0,-0.022,-8.0,0.0,2021-22
Ade Murkey,SAC,1.0,0.0,,0.0,-0.017,-9.7,0.0,2021-22
Pascal Siakam,multiple,80.0,19.7,0.601,25.3,0.124,1.9,2.7,2023-24
Dennis Schroder,multiple,80.0,13.3,0.55,20.3,0.063,-1.8,0.1,2023-24
PJ Washington,multiple,73.0,12.2,0.537,19.1,0.04,-2.1,-0.1,2023-24
Buddy Hield,multiple,84.0,13.3,0.578,19.2,0.077,0.4,1.3,2023-24
Spencer Dinwiddie,multiple,76.0,11.7,0.543,16.6,0.081,-1.9,0.1,2023-24
Grant Williams,multiple,76.0,10.6,0.588,15.9,0.059,-2.6,-0.3,2023-24
Terry Rozier,multiple,61.0,17.3,0.555,25.9,0.091,1.5,1.8,2023-24
Immanuel Quickley,multiple,68.0,16.7,0.577,23.8,0.115,1.3,1.7,2023-24
Royce ONeale,multiple,79.0,11.1,0.548,13.9,0.085,0.0,1.0,2023-24
Bruce Brown,multiple,67.0,11.6,0.563,16.5,0.058,-3.3,-0.6,2023-24
RJ Barrett,multiple,58.0,16.4,0.58,26.5,0.075,-0.8,0.6,2023-24
Daniel Gafford,multiple,74.0,21.7,0.731,14.7,0.205,2.6,2.1,2023-24
Kelly Olynyk,multiple,78.0,17.4,0.661,17.5,0.133,1.8,1.7,2023-24
OG Anunoby,multiple,50.0,12.8,0.595,17.6,0.073,-0.6,0.6,2023-24
Kyle Lowry,multiple,60.0,10.9,0.594,12.9,0.1,-1.0,0.4,2023-24
Simone Fontecchio,multiple,66.0,12.1,0.6,16.5,0.061,-1.0,0.4,2023-24
Ochai Agbaji,multiple,78.0,7.7,0.497,13.4,0.002,-4.4,-1.0,2023-24
Precious Achiuwa,multiple,74.0,14.6,0.545,15.9,0.102,-1.4,0.2,2023-24
Nicolas Batum,multiple,60.0,10.2,0.603,8.6,0.103,-0.4,0.6,2023-24
Bojan Bogdanovic,multiple,57.0,12.6,0.581,24.6,0.034,-3.2,-0.4,2023-24
Patrick Beverley,multiple,73.0,11.6,0.539,14.3,0.09,-1.1,0.3,2023-24
Cameron Payne,multiple,78.0,12.8,0.566,19.1,0.089,-1.1,0.3,2023-24
Gordon Hayward,multiple,51.0,12.8,0.548,18.4,0.058,-2.1,0.0,2023-24
Alec Burks,multiple,66.0,12.9,0.536,24.4,0.054,-2.3,-0.1,2023-24
David Roddy,multiple,65.0,8.7,0.484,18.1,0.004,-5.0,-0.9,2023-24
Vasilije Micic,multiple,60.0,10.7,0.524,18.8,0.015,-4.6,-0.8,2023-24
Jordan Goodwin,multiple,57.0,12.6,0.451,19.0,0.054,-1.0,0.3,2023-24
Marvin Bagley III,multiple,50.0,19.4,0.629,21.0,0.122,-0.4,0.4,2023-24
Dalano Banton,multiple,54.0,13.3,0.504,25.7,0.024,-1.3,0.2,2023-24
Quentin Grimes,multiple,51.0,8.9,0.516,15.8,0.06,-2.2,-0.1,2023-24
Daniel Theis,multiple,60.0,14.4,0.597,15.4,0.119,-1.6,0.1,2023-24
Tre Mann,multiple,41.0,13.7,0.559,18.2,0.058,-1.3,0.2,2023-24
Xavier Tillman Sr,multiple,54.0,12.2,0.472,14.8,0.071,-1.2,0.2,2023-24
Doug McDermott,multiple,64.0,9.1,0.6,14.9,0.046,-3.4,-0.3,2023-24
Malachi Flynn,multiple,69.0,11.9,0.533,20.4,0.029,-2.2,0.0,2023-24
Chimezie Metu,multiple,51.0,13.3,0.61,16.2,0.085,-1.3,0.2,2023-24
Troy Brown Jr,multiple,59.0,8.8,0.51,14.3,0.048,-2.6,-0.1,2023-24
Marcus Morris,multiple,49.0,9.9,0.558,16.6,0.06,-3.8,-0.4,2023-24
Bismack Biyombo,multiple,40.0,9.9,0.562,10.7,0.066,-3.4,-0.3,2023-24
KJ Martin,multiple,60.0,9.9,0.563,13.4,0.071,-4.1,-0.4,2023-24
Delon Wright,multiple,47.0,13.6,0.505,12.8,0.109,0.4,0.5,2023-24
Jordan Nwora,multiple,52.0,13.7,0.565,22.4,0.034,-2.5,-0.1,2023-24
Jacob Gilyard,multiple,41.0,11.1,0.573,11.1,0.095,-1.4,0.1,2023-24
Davis Bertans,multiple,43.0,11.6,0.583,17.4,0.061,-1.4,0.1,2023-24
Keita BatesDiop,multiple,53.0,11.5,0.534,13.0,0.091,-1.0,0.2,2023-24
Danilo Gallinari,multiple,49.0,13.4,0.601,17.2,0.098,-1.9,0.0,2023-24
Seth Curry,multiple,44.0,9.9,0.519,16.8,0.04,-3.3,-0.2,2023-24
Mike Muscala,multiple,53.0,7.5,0.47,13.4,0.009,-5.3,-0.5,2023-24
Shake Milton,multiple,48.0,9.2,0.499,18.7,0.048,-3.7,-0.3,2023-24
Evan Fournier,multiple,32.0,8.5,0.464,19.0,-0.005,-4.3,-0.3,2023-24
Trey Jemison,multiple,25.0,11.8,0.582,13.5,0.073,-5.1,-0.5,2023-24
Lamar Stevens,multiple,38.0,14.6,0.516,22.2,0.068,-2.2,0.0,2023-24
Richaun Holmes,multiple,40.0,14.5,0.593,14.7,0.114,-3.3,-0.2,2023-24
Jaden Springer,multiple,49.0,10.7,0.49,17.1,0.052,-3.4,-0.2,2023-24
Robert Covington,multiple,29.0,13.6,0.58,10.7,0.145,2.2,0.5,2023-24
PJ Tucker,multiple,31.0,5.9,0.507,5.3,0.068,-3.6,-0.2,2023-24
Monte Morris,multiple,33.0,13.2,0.508,15.5,0.123,0.7,0.3,2023-24
Yuta Watanabe,multiple,34.0,4.7,0.474,13.3,-0.009,-6.4,-0.5,2023-24
Thaddeus Young,multiple,33.0,15.9,0.598,12.6,0.138,0.3,0.2,2023-24
Skylar Mays,multiple,38.0,12.0,0.466,18.4,0.044,-2.0,0.0,2023-24
Patty Mills,multiple,32.0,7.2,0.467,15.9,0.009,-4.6,-0.3,2023-24
Aleksej Pokusevski,multiple,28.0,12.7,0.525,17.2,0.05,-1.9,0.0,2023-24
Tosan Evbuomwan,multiple,17.0,9.9,0.616,10.6,0.071,-3.0,-0.1,2023-24
Kira Lewis Jr,multiple,28.0,8.6,0.441,18.5,-0.005,-5.8,-0.3,2023-24
Jaylen Nowell,multiple,13.0,9.2,0.494,17.8,0.016,-5.4,-0.2,2023-24
Theo Maledon,multiple,17.0,3.2,0.385,19.6,-0.122,-10.3,-0.5,2023-24
Taj Gibson,multiple,20.0,5.9,0.449,9.0,0.044,-5.3,-0.2,2023-24
Kenneth Lofton Jr,multiple,21.0,14.7,0.537,22.1,0.068,-0.3,0.1,2023-24
Darius Bazley,multiple,9.0,13.9,0.68,11.9,0.084,-0.4,0.1,2023-24
Marques Bolden,multiple,11.0,16.0,0.691,10.9,0.134,-2.7,0.0,2023-24
Dylan Windler,multiple,17.0,14.2,0.717,12.5,0.14,0.7,0.1,2023-24
Harry Giles,multiple,23.0,14.8,0.503,26.7,0.027,-4.8,-0.1,2023-24
Jamaree Bouyea,multiple,9.0,1.5,0.375,16.5,-0.129,-12.3,-0.2,2023-24
Ryan Rollins,multiple,13.0,22.0,0.638,23.0,0.155,5.7,0.2,2023-24
Ish Wainright,multiple,11.0,8.9,0.462,18.5,0.029,-2.4,0.0,2023-24
Alex Fudge,multiple,6.0,9.8,0.472,19.2,-0.007,-5.2,0.0,2023-24
Mamadi Diakite,multiple,6.0,18.6,0.694,17.0,0.168,3.5,0.0,2023-24
Filip Petrusev,multiple,3.0,5.1,0.521,12.3,0.029,-8.0,0.0,2023-24
Mikal Bridges,multiple,83.0,16.8,0.587,22.6,0.121,1.7,2.8,2022-23
Spencer Dinwiddie,multiple,79.0,16.0,0.573,22.1,0.111,0.7,1.8,2022-23
Josh Hart,multiple,76.0,14.1,0.622,12.6,0.118,0.9,1.8,2022-23
DAngelo Russell,multiple,71.0,16.3,0.605,22.7,0.106,1.5,2.0,2022-23
Kyrie Irving,multiple,60.0,22.4,0.613,28.9,0.159,4.1,3.5,2022-23
Saddiq Bey,multiple,77.0,14.6,0.564,20.2,0.087,-0.3,0.9,2022-23
Russell Westbrook,multiple,73.0,16.1,0.513,27.7,0.044,0.2,1.2,2022-23
Malik Beasley,multiple,81.0,10.9,0.531,21.1,0.032,-2.0,0.0,2022-23
Mason Plumlee,multiple,79.0,19.6,0.689,15.2,0.185,2.2,2.2,2022-23
Mike Conley,multiple,67.0,14.7,0.583,16.3,0.13,0.9,1.5,2022-23
Dorian FinneySmith,multiple,66.0,9.2,0.523,13.2,0.051,-2.0,0.0,2022-23
Eric Gordon,multiple,69.0,11.8,0.587,17.8,0.056,-1.9,0.1,2022-23
