player_id,nationality
1631220,USA
1631221,USA
1631222,USA
1631223,USA
1629168,USA
1631230,USA
1629185,USA
1631241,USA
1631243,Senegal
1631245,USA
1631246,USA
1631250,USA
1629203,USA
1631254,USA
1631257,USA
1631260,USA
1631262,USA
1629216,USA
203816,USA
1629232,USA
1629234,USA
1631288,USA
1631298,Australia
1631303,USA
1631306,USA
1631309,USA
1631311,USA
1631320,Nigeria
1631321,France
1631323,Italy
1631338,USA
203897,USA
1629308,USA
203901,USA
1629309,USA
203903,USA
1629312,USA
1631367,USA
203914,USA
203915,USA
203917,Canada
203918,USA
1631376,Ukraine
203920,Canada
203924,USA
203925,USA
203926,USA
1631386,USA
203932,USA
203933,USA
203935,USA
203937,USA
203939,Canada
203943,USA
203944,USA
1641645,Australia
203952,Canada
203953,USA
203954,Cameroon
203957,Australia
203967,Croatia
201933,USA
201935,USA
201937,Spain
201939,USA
201942,USA
203991,Switzerland
203992,Serbia
203994,Bosnia and Herzegovina
203995,Serbia
201949,USA
201950,USA
203999,Serbia
204001,Latvia
201954,USA
201959,USA
1641705,France
1641706,USA
1631466,USA
1641708,USA
1641709,USA
1641710,USA
1641711,USA
1641712,France
1641713,USA
1641707,USA
1641715,USA
1641716,USA
1641717,USA
1641718,USA
204020,USA
1641720,USA
1641721,USA
1641722,USA
1641723,USA
201980,USA
1641724,USA
1641726,USA
1641727,USA
201976,USA
1641729,USA
1641730,USA
1641731,France
1641732,USA
1641733,USA
1641734,USA
1641735,USA
201988,Australia
1631495,USA
1641738,USA
1641739,Belgium
204038,USA
1641741,USA
1641745,USA
1641748,USA
1641749,USA
1641753,USA
1641754,USA
204060,Australia
1641757,USA
1641763,USA
1641764,USA
1641765,Canada
1641766,Mali
1641767,USA
1641771,USA
1641774,Italy
1641775,USA
1641778,USA
1641787,United Kingdom
1641788,USA
1641793,British Virgin Islands
1641806,USA
1641809,USA
202066,USA
1641816,USA
202083,USA
1630533,USA
1630536,USA
1641847,USA
1641851,USA
1641854,USA
1630539,Bahamas
1641871,South Sudan
1641877,Ghana
1629597,USA
1629599,USA
1629600,USA
1629602,USA
1629603,Guinea
1629604,USA
1629605,Senegal
1629607,USA
1629610,USA
1629611,USA
1629614,Canada
1629617,USA
1629618,USA
1629619,USA
1629620,USA
1629622,USA
1629623,Canada
1629626,Sudan
1629627,USA
1629628,Canada
1629629,USA
1629630,USA
1629631,USA
1629632,USA
1629633,USA
1629634,Canada
1629635,France
1629636,USA
1629637,USA
1641926,USA
1629638,Canada
1629640,USA
1629639,USA
1629642,USA
1629643,USA
1641931,Turkey
1629644,USA
1629646,Nigeria
1629647,USA
1629645,USA
1629641,USA
1629650,USA
1629651,USA
1629652,Canada
1629653,USA
1629649,Canada
1629655,USA
1629656,USA
1630555,France
1629658,France
1629659,USA
1629660,USA
1629661,USA
1629662,Canada
1629663,USA
1629657,USA
1629667,USA
1629669,USA
1629670,USA
1629671,USA
1629672,USA
1629673,USA
1629674,Portugal
1629675,USA
1629676,USA
1629677,Croatia
1629678,United Kingdom
1629680,USA
1629681,France
1641970,Brazil
1629683,USA
1629684,USA
1629685,USA
1629686,Lithuania
1629682,USA
1630257,USA
1641998,USA
1629712,Brazil
1629714,USA
1629716,USA
1629717,USA
1629718,USA
1629719,USA
1629723,USA
1642013,USA
1629726,USA
1629730,USA
1629731,USA
1629735,Gabon
1629744,USA
1629750,USA
1629751,USA
1629752,USA
1629755,USA
1630169,USA
1629760,USA
202322,USA
1627732,Australia
202324,USA
1627734,Lithuania
202326,USA
1627736,USA
202328,USA
202330,USA
1627739,USA
202331,USA
1627741,Bahamas
1627742,USA
202334,USA
1630176,USA
1627745,USA
1627737,USA
1627747,USA
202340,USA
1627749,USA
1627750,Canada
1627751,Austria
1627752,USA
202339,USA
1627756,USA
1627759,USA
1627760,USA
1627761,USA
1630179,USA
1627763,USA
202355,USA
202357,Serbia
1627767,Mali
202362,USA
1627774,USA
1627777,USA
1627780,USA
1627782,USA
1627783,Cameroon
1629833,USA
1627788,Turkey
1627789,France
202397,USA
1627814,USA
1629783,USA
204456,USA
1627820,USA
1627822,France
1627823,Spain
1629873,USA
1627826,Croatia
1627827,USA
1629875,USA
1627832,USA
1629788,USA
1627846,Egypt
1627853,USA
1627854,USA
1630199,USA
1627863,USA
1627884,USA
1627885,USA
1629958,USA
1629962,USA
1627936,USA
203082,USA
203086,USA
203087,USA
1626155,USA
203090,USA
200746,USA
1628021,USA
1626161,USA
1628035,USA
202681,Australia
202683,Turkey
202684,Canada
202685,Lithuania
203107,Czech Republic
202687,Democratic Republic of the Congo
202688,USA
202689,USA
202691,USA
202692,USA
202693,USA
202694,USA
202695,USA
202696,Montenegro
202699,USA
202704,USA
1630162,USA
1630163,USA
1630164,USA
202709,Canada
1630166,Israel
202711,Croatia
202710,USA
1630165,France
1630170,USA
1630171,USA
1630167,USA
1630168,USA
1630174,USA
1630175,USA
1630172,USA
1630173,Nigeria
202722,Latvia
1630177,France
1630180,USA
1630181,USA
1630182,Australia
1630183,USA
1630184,USA
1630178,USA
1630186,USA
1630187,USA
1630188,USA
1630190,USA
1630191,USA
1630192,USA
1630193,USA
202738,USA
1630194,USA
1630196,Serbia
1630197,Serbia
1630198,USA
1630195,Argentina
1630200,USA
1630201,USA
1630202,USA
1630204,USA
1630205,USA
1630206,USA
1630207,USA
