player_id,player,team,games_played,min,off_rating,def_rating,season
1631096,Chet Holmgren,OKC,82,29.4,118.2,109.2,2023-24
1629002,Chimezie Metu,DET,51,16.8,105.5,112.0,2023-24
1628449,Chris Boucher,TOR,50,14.1,116.0,113.6,2023-24
1630537,Chris Duarte,SAC,59,12.2,110.4,113.5,2023-24
1641753,Chris Livingston,MIL,21,4.3,102.5,116.8,2023-24
101108,Chris Paul,GSW,58,26.4,113.7,111.0,2023-24
1631128,Christian Braun,DEN,82,20.2,110.0,109.3,2023-24
1626174,Christian Wood,LAL,50,17.4,109.9,109.9,2023-24
1629643,Chuma Okeke,ORL,47,9.2,99.5,106.8,2023-24
203991,Clint Capela,ATL,73,25.8,115.5,115.6,2023-24
1629632,Coby White,CHI,79,36.5,115.0,115.8,2023-24
1628998,Cody Martin,CHA,28,26.9,106.5,117.0,2023-24
203469,Cody Zeller,NOP,43,7.4,114.3,108.0,2023-24
1641732,Colby Jones,SAC,30,6.4,104.8,103.3,2023-24
1630175,Cole Anthony,ORL,81,22.4,112.6,110.0,2023-24
1631306,Cole Swider,MIA,18,4.8,98.9,110.0,2023-24
1630658,Colin Castleton,LAL,16,3.7,82.4,117.6,2023-24
1631221,Collin Gillespie,DEN,24,9.4,111.7,109.2,2023-24
1629012,Collin Sexton,UTA,78,26.6,117.0,120.4,2023-24
1630557,Corey Kispert,WAS,80,25.8,108.7,119.4,2023-24
202709,Cory Joseph,GSW,26,11.4,114.2,117.2,2023-24
1641854,Craig Porter Jr.,CLE,51,12.7,111.7,113.4,2023-24
1626156,D'Angelo Russell,LAL,76,32.7,116.5,113.9,2023-24
1641793,D'Moi Hodge,LAL,7,5.9,86.4,130.6,2023-24
1630618,D.J. Carton,TOR,4,8.9,81.5,122.8,2023-24
1628391,D.J. Wilson,PHI,2,7.7,120.0,117.2,2023-24
1629610,DaQuan Jeffries,NYK,17,2.7,87.6,95.0,2023-24
1630227,Daishen Nix,MIN,15,3.3,119.3,99.1,2023-24
1630625,Dalano Banton,POR,54,19.4,104.5,114.7,2023-24
1631207,Dalen Terry,CHI,59,11.5,112.9,110.7,2023-24
1627745,Damian Jones,CLE,39,6.9,94.0,112.6,2023-24
203081,Damian Lillard,MIL,73,35.3,119.4,112.4,2023-24
1629655,Daniel Gafford,DAL,74,24.5,113.9,116.0,2023-24
1628464,Daniel Theis,LAC,60,16.9,115.6,113.2,2023-24
201568,Danilo Gallinari,MIL,49,12.8,109.1,117.5,2023-24
201980,Danny Green,PHI,2,9.2,114.6,120.5,2023-24
203957,Danté Exum,DAL,55,19.8,120.7,110.5,2023-24
1627863,Danuel House Jr.,PHI,34,15.0,109.9,107.7,2023-24
203967,Dario Šarić,GSW,64,17.2,113.7,115.3,2023-24
1641727,Dariq Whitehead,BKN,2,12.0,110.9,153.7,2023-24
1629647,Darius Bazley,UTA,9,16.9,114.0,125.2,2023-24
1629636,Darius Garland,CLE,57,33.3,113.5,111.4,2023-24
1630561,David Duke Jr.,SAS,4,12.8,115.3,110.9,2023-24
1631223,David Roddy,PHX,65,18.1,104.3,113.6,2023-24
1630558,Davion Mitchell,SAC,72,15.3,109.5,112.1,2023-24
202722,Davis Bertans,CHA,43,15.7,107.0,114.2,2023-24
1630549,Day'Ron Sharpe,BKN,61,15.1,112.8,108.0,2023-24
1628368,De'Aaron Fox,SAC,74,35.9,116.6,112.3,2023-24
1629631,De'Andre Hunter,ATL,57,29.5,116.7,117.9,2023-24
1629001,De'Anthony Melton,PHI,38,26.9,122.0,112.0,2023-24
201599,DeAndre Jordan,DEN,36,11.0,105.2,115.9,2023-24
1630610,DeJon Jarreau,MEM,9,16.6,102.9,107.5,2023-24
201942,DeMar DeRozan,CHI,79,37.8,113.5,114.6,2023-24
1629731,Dean Wade,CLE,54,20.5,111.9,103.5,2023-24
1629028,Deandre Ayton,POR,55,32.4,106.6,115.3,2023-24
1627749,Dejounte Murray,ATL,78,35.7,116.8,119.5,2023-24
1626153,Delon Wright,MIA,47,15.8,110.7,109.7,2023-24
1630166,Deni Avdija,WAS,75,30.1,109.7,116.2,2023-24
203471,Dennis Schröder,BKN,80,31.1,112.6,115.4,2023-24
1628372,Dennis Smith Jr.,BKN,56,18.9,109.9,109.9,2023-24
1641726,Dereck Lively II,DAL,55,23.5,120.6,115.6,2023-24
1631220,Dereon Seabron,NOP,6,9.2,118.8,92.5,2023-24
1627884,Derrick Jones Jr.,DAL,76,23.5,114.0,112.3,2023-24
201565,Derrick Rose,MEM,24,16.6,103.9,107.7,2023-24
1628401,Derrick White,BOS,73,32.6,122.4,109.9,2023-24
1630217,Desmond Bane,MEM,42,34.4,108.2,115.4,2023-24
1626164,Devin Booker,PHX,68,36.0,119.3,113.5,2023-24
1630170,Devin Vassell,SAS,68,33.1,108.5,114.6,2023-24
1628984,Devonte' Graham,SAS,23,13.6,108.9,105.6,2023-24
1641926,Dexter Dennis,DAL,4,7.5,89.0,100.0,2023-24
1628415,Dillon Brooks,HOU,72,30.9,113.6,113.6,2023-24
1631376,Dmytro Skapintsev,NYK,2,1.1,75.0,60.0,2023-24
1627734,Domantas Sabonis,SAC,82,35.7,116.0,115.2,2023-24
1631230,Dominick Barlow,SAS,33,12.7,113.3,117.8,2023-24
1628378,Donovan Mitchell,CLE,55,35.3,115.9,108.6,2023-24
1628978,Donte DiVincenzo,NYK,81,29.1,117.9,114.2,2023-24
1627827,Dorian Finney-Smith,BKN,68,28.4,111.0,113.2,2023-24
203926,Doug McDermott,IND,64,14.1,111.6,120.9,2023-24
203110,Draymond Green,GSW,55,27.1,115.6,110.7,2023-24
1629234,Drew Eubanks,PHX,75,15.6,108.3,112.3,2023-24
1641809,Drew Peterson,BOS,3,7.6,132.0,116.0,2023-24
1630696,Dru Smith,MIA,9,14.5,97.4,112.5,2023-24
1629130,Duncan Robinson,MIA,68,28.0,111.5,111.0,2023-24
1641871,Duop Reath,POR,68,17.9,109.6,116.8,2023-24
203939,Dwight Powell,DAL,63,13.3,114.7,114.4,2023-24
1629685,Dylan Windler,ATL,17,6.4,107.5,112.1,2023-24
1630700,Dyson Daniels,NOP,61,22.3,115.0,111.7,2023-24
1630604,E.J. Liddell,NOP,8,2.9,98.1,109.8,2023-24
1641734,Emoni Bates,CLE,15,8.9,93.3,124.0,2023-24
201569,Eric Gordon,PHX,68,27.8,115.6,112.2,2023-24
1630647,Eugene Omoruyi,WAS,43,9.1,100.1,114.2,2023-24
203095,Evan Fournier,DET,32,18.1,97.8,109.9,2023-24
1630596,Evan Mobley,CLE,50,30.6,111.2,110.1,2023-24
1630196,Filip Petrusev,SAC,3,3.1,110.0,80.0,2023-24
1628373,Frank Ntilikina,CHA,5,8.6,121.3,121.1,2023-24
1630532,Franz Wagner,ORL,72,32.5,112.5,108.2,2023-24
1627832,Fred VanVleet,HOU,73,36.8,114.6,111.6,2023-24
1627788,Furkan Korkmaz,PHI,35,8.6,116.5,110.2,2023-24
1641713,GG Jackson,MEM,48,25.7,104.3,111.4,2023-24
1629216,Gabe Vincent,LAL,11,19.8,109.8,103.0,2023-24
202066,Garrett Temple,TOR,27,10.7,100.3,113.4,2023-24
