player_id,player,team,games_played,min,off_rating,def_rating,season
1630639,A.J. Lawson,DAL,15,7.2,96.3,116.4,2022-23
1631260,AJ Green,MIL,35,9.9,107.9,112.8,2022-23
1631100,AJ Griffin,ATL,72,19.5,113.6,112.0,2022-23
203932,Aaron Gordon,DEN,68,30.2,123.0,110.9,2022-23
1628988,Aaron Holiday,ATL,63,13.4,110.8,110.0,2022-23
1630174,Aaron Nesmith,IND,73,24.9,113.8,118.5,2022-23
1630598,Aaron Wiggins,OKC,70,18.5,112.7,111.2,2022-23
1629678,Admiral Schofield,ORL,37,12.2,104.7,113.0,2022-23
201143,Al Horford,BOS,63,30.5,118.9,111.1,2022-23
202692,Alec Burks,DET,51,22.0,112.9,113.9,2022-23
1630197,Aleksej Pokusevski,OKC,34,20.6,105.6,118.3,2022-23
1627936,Alex Caruso,CHI,67,23.5,112.6,106.5,2022-23
203458,Alex Len,SAC,26,6.2,106.6,100.0,2022-23
1628993,Alize Johnson,SAS,4,7.4,111.1,92.1,2022-23
1631214,Alondes Williams,BKN,1,5.3,83.3,136.4,2022-23
1630578,Alperen Sengun,HOU,75,28.9,112.5,120.3,2022-23
1629599,Amir Coffey,LAC,50,12.5,104.2,113.1,2022-23
203083,Andre Drummond,CHI,67,12.7,108.7,106.0,2022-23
2738,Andre Iguodala,GSW,8,14.1,116.7,104.7,2022-23
1629614,Andrew Nembhard,IND,75,27.6,112.3,118.2,2022-23
203952,Andrew Wiggins,GSW,37,32.2,116.2,110.9,2022-23
1629014,Anfernee Simons,POR,62,35.0,114.1,115.7,2022-23
203076,Anthony Davis,LAL,56,34.0,114.3,109.5,2022-23
1630162,Anthony Edwards,MIN,79,36.0,113.8,111.9,2022-23
1630264,Anthony Gill,WAS,59,10.6,109.5,110.4,2022-23
1630237,Anthony Lamb,GSW,62,19.3,112.5,110.8,2022-23
1630559,Austin Reaves,LAL,64,28.8,115.4,110.5,2022-23
203085,Austin Rivers,MIN,52,19.5,109.8,114.8,2022-23
1630245,Ayo Dosunmu,CHI,80,26.2,108.8,110.1,2022-23
1628389,Bam Adebayo,MIA,75,34.6,113.0,111.2,2022-23
1627732,Ben Simmons,BKN,42,26.3,114.7,112.5,2022-23
1631097,Bennedict Mathurin,IND,78,28.5,111.5,115.8,2022-23
202687,Bismack Biyombo,PHX,61,14.3,112.7,109.7,2022-23
201933,Blake Griffin,BOS,41,13.9,116.5,106.6,2022-23
1631104,Blake Wesley,SAS,37,18.1,103.3,116.7,2022-23
1626246,Boban Marjanović,HOU,31,5.5,114.6,96.1,2022-23
1626171,Bobby Portis,MIL,70,26.0,111.8,112.0,2022-23
203992,Bogdan Bogdanović,ATL,54,27.9,117.3,116.1,2022-23
202711,Bojan Bogdanović,DET,59,32.1,111.3,119.5,2022-23
1629626,Bol Bol,ORL,70,21.5,107.6,112.0,2022-23
1630538,Bones Hyland,LAC,56,19.4,112.7,118.0,2022-23
203078,Bradley Beal,WAS,50,33.5,116.6,115.9,2022-23
1630527,Brandon Boston,LAC,22,11.3,106.8,114.5,2022-23
1629634,Brandon Clarke,MEM,56,19.5,109.0,108.3,2022-23
1627742,Brandon Ingram,NOP,45,34.2,115.5,112.5,2022-23
1630296,Braxton Key,DET,3,3.0,100.0,104.5,2022-23
201572,Brook Lopez,MIL,78,30.4,113.7,106.6,2022-23
1628971,Bruce Brown,DEN,80,28.5,113.8,113.0,2022-23
1628981,Bruno Fernando,ATL,39,10.4,105.1,114.0,2022-23
1631121,Bryce McGowens,CHA,46,17.1,102.6,112.3,2022-23
1627854,Bryn Forbes,MIN,25,10.7,107.8,116.2,2022-23
1631205,Buddy Boeheim,DET,10,9.0,105.9,103.2,2022-23
1627741,Buddy Hield,IND,80,31.0,114.4,116.3,2022-23
203468,CJ McCollum,NOP,75,35.3,114.5,113.5,2022-23
1630595,Cade Cunningham,DET,12,33.3,111.2,117.3,2022-23
1631216,Caleb Houstan,ORL,51,15.9,107.6,112.9,2022-23
1628997,Caleb Martin,MIA,71,29.3,110.7,110.7,2022-23
1629629,Cam Reddish,POR,40,24.7,108.9,117.8,2022-23
1630560,Cam Thomas,BKN,57,16.6,112.1,113.7,2022-23
1629661,Cameron Johnson,BKN,42,28.6,115.3,108.7,2022-23
1626166,Cameron Payne,PHX,48,20.2,115.4,111.4,2022-23
1627747,Caris LeVert,CLE,74,30.2,113.0,108.5,2022-23
1630637,Carlik Jones,CHI,7,8.0,114.0,93.3,2022-23
1626224,Cedi Osman,CLE,77,20.1,115.4,108.0,2022-23
1628435,Chance Comanche,POR,1,20.8,95.6,163.6,2022-23
1629646,Charles Bassey,SAS,35,14.5,109.1,111.5,2022-23
1631320,Chima Moneke,SAC,2,4.0,72.2,129.4,2022-23
1629002,Chimezie Metu,SAC,66,10.4,113.9,107.3,2022-23
1628449,Chris Boucher,TOR,76,20.0,110.4,111.6,2022-23
1630537,Chris Duarte,IND,46,19.5,109.4,115.6,2022-23
101108,Chris Paul,PHX,59,32.0,114.9,112.5,2022-23
1629735,Chris Silva,DAL,1,3.0,100.0,87.5,2022-23
1631128,Christian Braun,DEN,76,15.5,107.0,111.3,2022-23
1631132,Christian Koloko,TOR,58,13.8,112.7,103.7,2022-23
1626174,Christian Wood,DAL,67,25.9,115.4,116.7,2022-23
1629643,Chuma Okeke,ORL,27,19.2,105.7,116.5,2022-23
203991,Clint Capela,ATL,65,26.6,115.3,116.4,2022-23
1629632,Coby White,CHI,74,23.4,114.0,110.1,2022-23
1628998,Cody Martin,CHA,7,19.1,107.6,117.3,2022-23
203469,Cody Zeller,MIA,15,14.4,108.8,119.0,2022-23
1630175,Cole Anthony,ORL,60,25.9,112.4,112.5,2022-23
1631306,Cole Swider,LAL,7,5.9,116.5,113.2,2022-23
1629012,Collin Sexton,UTA,48,23.9,116.4,116.3,2022-23
1630557,Corey Kispert,WAS,74,28.3,112.4,115.6,2022-23
202709,Cory Joseph,DET,62,19.8,109.7,113.8,2022-23
1626156,D'Angelo Russell,LAL,71,32.5,113.6,112.1,2022-23
1630227,Daishen Nix,HOU,57,16.0,106.2,114.4,2022-23
1630625,Dalano Banton,TOR,31,9.0,104.4,110.9,2022-23
1631207,Dalen Terry,CHI,38,5.6,104.8,101.5,2022-23
1627745,Damian Jones,UTA,41,11.6,103.6,112.6,2022-23
203081,Damian Lillard,POR,58,36.3,119.5,117.4,2022-23
1627814,Damion Lee,PHX,74,20.4,110.1,107.3,2022-23
1629655,Daniel Gafford,WAS,78,20.6,111.7,114.3,2022-23
1628464,Daniel Theis,IND,7,15.5,107.3,115.5,2022-23
201980,Danny Green,CLE,11,12.6,104.5,110.0,2022-23
1627863,Danuel House Jr.,PHI,56,14.4,112.8,112.5,2022-23
203967,Dario Šarić,OKC,57,14.1,112.8,111.2,2022-23
1629647,Darius Bazley,PHX,43,14.3,105.5,109.2,2022-23
1630620,Darius Days,HOU,4,6.2,109.4,109.6,2022-23
1629636,Darius Garland,CLE,69,35.5,116.9,108.8,2022-23
1630561,David Duke Jr.,BKN,23,9.9,105.2,111.5,2022-23
1631223,David Roddy,MEM,70,18.0,110.6,112.5,2022-23
1630558,Davion Mitchell,SAC,80,18.1,114.4,111.8,2022-23
202722,Davis Bertans,DAL,45,10.9,110.6,114.8,2022-23
1628432,Davon Reed,LAL,43,8.0,97.5,111.7,2022-23
1630549,Day'Ron Sharpe,BKN,48,11.5,110.3,119.0,2022-23
1628368,De'Aaron Fox,SAC,73,33.4,119.9,116.8,2022-23
1629631,De'Andre Hunter,ATL,67,31.7,114.9,115.5,2022-23
1629001,De'Anthony Melton,PHI,77,27.9,115.5,112.8,2022-23
201599,DeAndre Jordan,DEN,39,15.0,107.0,115.4,2022-23
201942,DeMar DeRozan,CHI,74,36.2,112.2,110.7,2022-23
1629731,Dean Wade,CLE,44,20.3,109.7,103.2,2022-23
1629028,Deandre Ayton,PHX,67,30.4,113.2,113.2,2022-23
1627749,Dejounte Murray,ATL,74,36.4,114.3,115.4,2022-23
1626153,Delon Wright,WAS,50,24.4,114.1,110.9,2022-23
1630166,Deni Avdija,WAS,76,26.6,113.3,114.1,2022-23
203471,Dennis Schröder,LAL,66,30.1,115.0,112.2,2022-23
1628372,Dennis Smith Jr.,CHA,54,25.7,103.6,106.2,2022-23
1629126,Deonte Burton,SAC,2,3.2,164.3,112.5,2022-23
1631220,Dereon Seabron,NOP,5,2.3,116.0,79.2,2022-23
1627884,Derrick Jones Jr.,CHI,64,14.0,112.8,106.0,2022-23
201565,Derrick Rose,NYK,27,12.5,104.3,107.8,2022-23
1628401,Derrick White,BOS,82,28.3,118.2,107.2,2022-23
1630217,Desmond Bane,MEM,58,31.7,116.4,107.4,2022-23
1626164,Devin Booker,PHX,53,34.6,119.6,113.4,2022-23
1630170,Devin Vassell,SAS,38,31.0,107.1,118.8,2022-23
1629653,Devon Dotson,WAS,6,8.9,101.8,107.5,2022-23
1628984,Devonte' Graham,SAS,73,18.3,107.5,113.7,2022-23
203473,Dewayne Dedmon,PHI,38,11.2,99.3,110.0,2022-23
1628415,Dillon Brooks,MEM,73,30.3,113.4,108.5,2022-23
1627734,Domantas Sabonis,SAC,79,34.6,120.7,116.8,2022-23
1631230,Dominick Barlow,SAS,28,14.6,105.2,115.9,2022-23
1628378,Donovan Mitchell,CLE,68,35.8,116.3,110.4,2022-23
1631495,Donovan Williams,ATL,2,2.1,120.0,60.0,2022-23
1628978,Donte DiVincenzo,GSW,72,26.3,113.5,110.6,2022-23
1627827,Dorian Finney-Smith,BKN,66,30.4,114.0,114.3,2022-23
203926,Doug McDermott,SAS,64,20.5,108.7,118.4,2022-23
203110,Draymond Green,GSW,73,31.5,116.2,109.2,2022-23
1629234,Drew Eubanks,POR,78,20.3,113.0,117.1,2022-23
1630696,Dru Smith,BKN,15,10.6,100.3,109.1,2022-23
1630613,Duane Washington Jr.,NYK,31,12.7,107.4,107.9,2022-23
1629130,Duncan Robinson,MIA,42,16.4,108.8,113.8,2022-23
203939,Dwight Powell,DAL,76,19.2,119.4,113.2,2022-23
1629685,Dylan Windler,CLE,3,3.5,94.4,90.0,2022-23
1630700,Dyson Daniels,NOP,59,17.7,107.1,106.7,2022-23
1628410,Edmond Sumner,BKN,53,13.9,111.7,110.1,2022-23
201569,Eric Gordon,LAC,69,28.5,110.6,116.4,2022-23
1630647,Eugene Omoruyi,DET,40,16.1,111.2,113.1,2022-23
203095,Evan Fournier,NYK,27,17.0,109.1,113.8,2022-23
1630596,Evan Mobley,CLE,79,34.4,115.5,109.0,2022-23
1630267,Facundo Campazzo,DAL,8,6.5,100.0,89.0,2022-23
1628402,Frank Jackson,UTA,1,5.1,100.0,122.2,2022-23
1626163,Frank Kaminsky,HOU,36,6.5,109.4,111.3,2022-23
1628373,Frank Ntilikina,DAL,47,12.9,113.5,108.4,2022-23
1630532,Franz Wagner,ORL,80,32.6,111.3,110.1,2022-23
1627832,Fred VanVleet,TOR,69,36.7,116.1,112.8,2022-23
