player_id,player,team,games_played,min,off_rating,def_rating,season
203932,Aaron Gordon,DEN,75,31.7,117.3,111.1,2021-22
1630565,Aaron Henry,PHI,6,2.8,71.1,127.0,2021-22
1628988,Aaron Holiday,PHX,63,16.2,106.8,108.2,2021-22
1630174,Aaron Nesmith,BOS,52,11.0,107.3,104.3,2021-22
1630598,Aaron Wiggins,OKC,50,24.2,104.5,112.6,2021-22
1627846,Abdel Nader,PHX,14,10.4,95.1,96.0,2021-22
1630278,Ade Murkey,SAC,1,1.5,33.3,66.7,2021-22
1629678,Admiral Schofield,ORL,38,12.3,100.3,113.8,2021-22
1629958,Ahmad Caver,IND,1,0.8,200.0,66.7,2021-22
201143,Al Horford,BOS,69,29.1,112.8,103.4,2021-22
202692,Alec Burks,NYK,81,28.6,110.3,108.1,2021-22
1630758,Aleem Ford,ORL,5,14.7,98.6,120.7,2021-22
1630197,Aleksej Pokusevski,OKC,61,20.2,103.6,106.1,2021-22
1627936,Alex Caruso,CHI,41,28.0,110.5,105.5,2021-22
203458,Alex Len,SAC,39,15.9,106.0,111.4,2021-22
1628035,Alfonzo McKinnie,CHI,17,12.1,108.6,121.5,2021-22
1628993,Alize Johnson,NOP,23,7.3,105.1,115.7,2021-22
1630578,Alperen Sengun,HOU,72,20.7,106.4,116.6,2021-22
1629599,Amir Coffey,LAC,69,22.7,110.1,111.0,2021-22
203083,Andre Drummond,BKN,73,19.7,112.2,109.8,2021-22
2738,Andre Iguodala,GSW,31,19.4,105.7,97.0,2021-22
203952,Andrew Wiggins,GSW,73,31.9,111.2,105.4,2021-22
1629014,Anfernee Simons,POR,57,29.5,110.5,112.9,2021-22
203076,Anthony Davis,LAL,40,35.1,105.9,108.9,2021-22
1630162,Anthony Edwards,MIN,72,34.2,114.6,110.6,2021-22
1630264,Anthony Gill,WAS,44,10.5,114.7,108.9,2021-22
1630237,Anthony Lamb,HOU,2,3.8,105.9,76.5,2021-22
1629717,Armoni Brooks,TOR,54,15.6,108.3,112.1,2021-22
1629083,Arnoldas Kulboka,CHA,2,2.7,50.0,150.0,2021-22
1630559,Austin Reaves,LAL,61,23.2,110.8,109.0,2021-22
203085,Austin Rivers,DEN,67,22.1,113.0,111.1,2021-22
202340,Avery Bradley,LAL,62,22.7,105.4,111.2,2021-22
1630245,Ayo Dosunmu,CHI,77,27.4,109.1,114.1,2021-22
1629168,BJ Johnson,ORL,4,16.1,103.8,113.0,2021-22
1628389,Bam Adebayo,MIA,56,32.6,113.1,104.9,2021-22
203463,Ben McLemore,POR,64,20.1,101.9,115.0,2021-22
202687,Bismack Biyombo,PHX,36,14.1,111.8,106.2,2021-22
201933,Blake Griffin,BKN,56,17.1,107.8,112.5,2021-22
1626246,Boban Marjanović,DAL,23,5.6,108.3,95.5,2021-22
1626171,Bobby Portis,MIL,72,28.2,114.7,108.5,2021-22
203992,Bogdan Bogdanović,ATL,63,29.3,116.6,112.1,2021-22
202711,Bojan Bogdanović,UTA,69,30.9,116.2,111.4,2021-22
1629626,Bol Bol,ORL,14,5.8,102.3,101.7,2021-22
1630538,Bones Hyland,DEN,69,19.0,113.4,111.7,2021-22
202954,Brad Wanamaker,WAS,23,13.9,104.0,110.3,2021-22
203078,Bradley Beal,WAS,40,36.0,107.1,110.5,2021-22
1630527,Brandon Boston,LAC,51,14.9,102.9,104.9,2021-22
1629634,Brandon Clarke,MEM,64,19.5,113.2,105.7,2021-22
1629164,Brandon Goodwin,CLE,36,13.9,106.3,112.6,2021-22
1627742,Brandon Ingram,NOP,55,34.0,112.7,109.4,2021-22
202688,Brandon Knight,DAL,5,12.9,103.6,107.2,2021-22
1630314,Brandon Williams,POR,24,26.7,101.2,121.6,2021-22
1630296,Braxton Key,DET,11,17.9,113.2,105.2,2021-22
1630271,Brodric Thomas,BOS,12,5.0,106.7,103.7,2021-22
201572,Brook Lopez,MIL,13,23.0,110.2,111.6,2021-22
1628971,Bruce Brown,BKN,72,24.6,111.7,112.0,2021-22
1628981,Bruno Fernando,HOU,30,5.1,100.0,110.1,2021-22
1627854,Bryn Forbes,DEN,75,17.1,109.3,109.8,2021-22
1627741,Buddy Hield,IND,81,30.8,111.4,115.1,2021-22
1629604,CJ Elleby,POR,58,20.2,102.6,116.9,2021-22
203468,CJ McCollum,NOP,62,34.6,112.1,114.0,2021-22
101139,CJ Miles,BOS,1,2.0,80.0,180.0,2021-22
1630595,Cade Cunningham,DET,64,32.6,106.9,113.1,2021-22
1628997,Caleb Martin,MIA,60,22.9,111.8,106.2,2021-22
1629629,Cam Reddish,NYK,49,20.7,103.2,113.0,2021-22
1630560,Cam Thomas,BKN,67,17.6,106.3,112.7,2021-22
1629661,Cameron Johnson,PHX,66,26.2,110.8,104.6,2021-22
1630787,Cameron McGriff,POR,3,15.3,122.3,115.1,2021-22
1628419,Cameron Oliver,ATL,2,21.7,122.5,123.3,2021-22
1626166,Cameron Payne,PHX,58,22.0,109.1,102.7,2021-22
1627747,Caris LeVert,CLE,58,30.7,112.7,114.5,2021-22
1630637,Carlik Jones,DEN,5,4.7,88.7,121.8,2021-22
2546,Carmelo Anthony,LAL,69,26.0,108.7,111.7,2021-22
1629035,Carsen Edwards,DET,4,19.8,108.5,114.4,2021-22
1630199,Cassius Stanley,DET,9,17.2,100.9,105.2,2021-22
1630216,Cassius Winston,WAS,7,5.6,107.7,111.1,2021-22
1627760,Cat Barber,ATL,3,4.3,131.0,96.4,2021-22
1626224,Cedi Osman,CLE,66,22.1,107.5,109.2,2021-22
1628990,Chandler Hutchison,PHX,6,3.7,109.6,82.4,2021-22
1629646,Charles Bassey,PHI,23,7.3,98.6,107.4,2021-22
1629718,Charlie Brown Jr.,PHI,22,8.1,99.7,103.4,2021-22
1630602,Chaundee Brown Jr.,ATL,5,20.7,104.1,112.8,2021-22
1627767,Cheick Diallo,DET,3,10.2,82.2,132.9,2021-22
1629002,Chimezie Metu,SAC,60,21.3,106.1,111.8,2021-22
1628449,Chris Boucher,TOR,80,21.1,111.0,105.7,2021-22
1629185,Chris Chiozza,GSW,34,10.9,100.4,108.3,2021-22
1630537,Chris Duarte,IND,55,28.0,107.6,109.7,2021-22
101108,Chris Paul,PHX,65,32.9,115.6,105.5,2021-22
1629735,Chris Silva,MIA,10,9.1,101.5,117.6,2021-22
1626174,Christian Wood,HOU,68,30.8,106.6,115.7,2021-22
1629643,Chuma Okeke,ORL,70,25.0,100.3,109.1,2021-22
203991,Clint Capela,ATL,74,27.6,116.6,113.3,2021-22
1629632,Coby White,CHI,61,27.5,112.3,113.6,2021-22
1628998,Cody Martin,CHA,71,26.3,113.1,113.0,2021-22
203469,Cody Zeller,POR,27,13.1,108.8,110.9,2021-22
1630175,Cole Anthony,ORL,65,31.7,105.7,111.1,2021-22
1629012,Collin Sexton,CLE,11,28.8,99.2,105.0,2021-22
1630557,Corey Kispert,WAS,77,23.4,113.0,112.9,2021-22
202709,Cory Joseph,DET,65,24.6,105.3,111.7,2021-22
1628591,Craig Sword,WAS,3,6.3,102.9,94.6,2021-22
1626156,D'Angelo Russell,MIN,65,31.9,114.5,109.8,2021-22
201571,D.J. Augustin,LAL,55,16.1,106.9,117.5,2021-22
1628391,D.J. Wilson,TOR,4,13.5,100.0,116.5,2021-22
